# TransStr, en
"CREDITS", "Credits"
"TYPE", "Type"
"CATEGORY", "Category"
"FILTER", "Filter"
"FILTER_NONE", "unfiltered"
"SORT", "Sort"
"SORT_NONE", "unsorted"
"SORT_A-Z", "sort A-Z"
"SORT_Z-A", "sort Z-A"
"SORT_BY_ID", "sort by ID"
"NOT_BUILDABLE", "not buildable"
"NOT_SELLABLE", "unsalable"
"NOT_BUYABLE", "not purchasable"
"NOT_RECYCELABLE", "not recyclable"
"", ""
"", ""
"", ""
"", ""
"", ""
"", ""
"", ""
"", ""
"", ""
"", ""
"", ""
"", ""
"", ""
"", ""
"", ""
"", ""
"", ""
"", ""
"", ""
"", ""
"", ""
"", ""
"", ""
"", ""
"", ""
